Transaction Number,Transaction Source,Transaction Class,Transaction Type,Complete,Status,Bill-to Customer,Entered Amount,Currency,Transaction Date,Operating Company (OpCo),Accounting Date,Batch Name,Bill-to Customer Site,Due Date,Primary Salesperson,Po Number,Bill-to Customer Account Number,Document Number,Unnamed: 19,Unnamed: 37
245118,Conversion,Invoice,Invoice,Yes,Complete,TRIMBLE MECHANICAL,227.27,USD,2026-02-10 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2819,2026-03-12 00:00:00,Dorse House Account,3070,4006,151000000139,,
245084,Conversion,Invoice,Invoice,Yes,Complete,DIAMOND HEATING,511,USD,2026-02-04 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2312,2026-03-06 00:00:00,Dorse House Account,Owens II,4231,151000000653,,
244725,Conversion,Invoice,Invoice,Yes,Complete,HERMANSON COMPANY,8030,USD,2026-02-16 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2628,2026-03-18 00:00:00,Dorse House Account,PO038018-1,4269,151000000150,,
245695,Conversion,Invoice,Invoice,Yes,Complete,PACIFIC ONE CONSTRUCTION INC,133.72,USD,2026-02-25 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,34311,2026-03-27 00:00:00,Dorse House Account,Parkshore,4049,151000000068,,
237091,Conversion,Invoice,Invoice,Yes,Complete,MCKINSTRY COMPANY,550,USD,2025-08-04 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4222,2025-09-03 00:00:00,Dorse House Account,25206120,3442,151000000970,,
245383,Conversion,Invoice,Invoice,Yes,Complete,JH KELLY LLC,365,USD,2026-02-27 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3951,2026-03-29 00:00:00,Dorse House Account,71134,3686,151000000459,,
243893,Conversion,Invoice,Invoice,Yes,Complete,HERMANSON COMPANY,4945,USD,2026-01-13 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2628,2026-02-12 00:00:00,Dorse House Account,PO037090,4269,151000001573,,
244678,Conversion,Invoice,Invoice,Yes,Complete,LEGACY HEATING AND COOLING,8639,USD,2026-02-11 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,34313,2026-03-13 00:00:00,Dorse House Account,25191CNC,3887,151000000443,,
245626,Conversion,Invoice,Invoice,Yes,Complete,EVERGREEN HEATING,458.5,USD,2026-02-23 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3496,2026-03-25 00:00:00,Dorse House Account,Konala Gonzaga,3391,151000001433,,
244522,Conversion,Invoice,Invoice,Yes,Complete,MCKINSTRY COMPANY,17,USD,2026-02-02 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4222,2026-03-04 00:00:00,Dorse House Account,26023148,3442,151000000379,,
